rep,id,eta_betas_N,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group
6,NHP4,0.0112967,0,0,0.0243283,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
7,NHP4,0.536113,0,0,0.468905,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
8,NHP4,0.0544147,0,0,1.61912,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
9,NHP4,0.191871,0,0,0.515421,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
10,NHP4,0.0683064,0,0,0.514275,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
1,NHP5,-0.0583296,0,0,0.540741,0,0,0,0,0,0,0,0,Conv
2,NHP5,-0.167924,0,0,0.455132,0,0,0,0,0,0,0,0,Conv
3,NHP5,0.0666747,0,0,0.402419,0,0,0,0,0,0,0,0,Conv
4,NHP5,0.148431,0,0,0.711988,0,0,0,0,0,0,0,0,Conv
5,NHP5,-0.145348,0,0,0.577084,0,0,0,0,0,0,0,0,Conv
6,NHP5,0.116581,0,0,0.685965,0,0,0,0,0,0,0,0,Conv
7,NHP5,-0.166838,0,0,0.746715,0,0,0,0,0,0,0,0,Conv
8,NHP5,-0.0720099,0,0,0.51625,0,0,0,0,0,0,0,0,Conv
9,NHP5,-0.329564,0,0,0.376726,0,0,0,0,0,0,0,0,Conv
10,NHP5,-0.0301185,0,0,0.568801,0,0,0,0,0,0,0,0,Conv
1,NHP6,0.0902868,0,0,-0.679634,0,0,0,0,0,0,0,0,Conv
2,NHP6,-0.107618,0,0,-0.412104,0,0,0,0,0,0,0,0,Conv
3,NHP6,-0.0265695,0,0,-1.1627,0,0,0,0,0,0,0,0,Conv
4,NHP6,-0.0200312,0,0,-0.307998,0,0,0,0,0,0,0,0,Conv
5,NHP6,0.138626,0,0,-0.279046,0,0,0,0,0,0,0,0,Conv
6,NHP6,0.0060522,0,0,-0.00915395,0,0,0,0,0,0,0,0,Conv
7,NHP6,0.423525,0,0,-0.317512,0,0,0,0,0,0,0,0,Conv
8,NHP6,0.217295,0,0,-0.162187,0,0,0,0,0,0,0,0,Conv
9,NHP6,0.0680048,0,0,-0.502312,0,0,0,0,0,0,0,0,Conv
10,NHP6,0.176589,0,0,-0.494371,0,0,0,0,0,0,0,0,Conv
1,NHP7,0.0599138,0,0,-0.305476,0,0,0,0,0,0,0,0,mRNA - Conv
2,NHP7,-0.052521,0,0,-0.359607,0,0,0,0,0,0,0,0,mRNA - Conv
3,NHP7,-0.0342573,0,0,0.73146,0,0,0,0,0,0,0,0,mRNA - Conv
4,NHP7,0.148875,0,0,-0.0836586,0,0,0,0,0,0,0,0,mRNA - Conv
5,NHP7,0.0218591,0,0,-0.165739,0,0,0,0,0,0,0,0,mRNA - Conv
6,NHP7,-0.144604,0,0,-0.10729,0,0,0,0,0,0,0,0,mRNA - Conv
7,NHP7,0.13244,0,0,-0.80102,0,0,0,0,0,0,0,0,mRNA - Conv
8,NHP7,0.0519784,0,0,1.35865,0,0,0,0,0,0,0,0,mRNA - Conv
9,NHP7,0.225936,0,0,-0.514211,0,0,0,0,0,0,0,0,mRNA - Conv
10,NHP7,0.148886,0,0,-0.109628,0,0,0,0,0,0,0,0,mRNA - Conv
1,NHP8,0.108242,0,0,1.06998,0,0,0,0,0,0,0,0,mRNA - Conv
2,NHP8,0.00728485,0,0,0.582144,0,0,0,0,0,0,0,0,mRNA - Conv
3,NHP8,-0.166319,0,0,0.874838,0,0,0,0,0,0,0,0,mRNA - Conv
4,NHP8,-0.0630483,0,0,1.40313,0,0,0,0,0,0,0,0,mRNA - Conv
5,NHP8,-0.207301,0,0,0.524547,0,0,0,0,0,0,0,0,mRNA - Conv
6,NHP8,0.147946,0,0,0.377669,0,0,0,0,0,0,0,0,mRNA - Conv
7,NHP8,0.010997,0,0,1.61953,0,0,0,0,0,0,0,0,mRNA - Conv
8,NHP8,-0.0708521,0,0,2.03779,0,0,0,0,0,0,0,0,mRNA - Conv
9,NHP8,-0.102692,0,0,-1.09147,0,0,0,0,0,0,0,0,mRNA - Conv
10,NHP8,0.213044,0,0,-0.320901,0,0,0,0,0,0,0,0,mRNA - Conv
1,NHP9,-0.00465409,0,0,-0.728121,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
2,NHP9,0.274579,0,0,-0.940992,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
3,NHP9,0.018258,0,0,-0.846964,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
4,NHP9,0.196874,0,0,-0.909945,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
5,NHP9,0.0128103,0,0,-0.792218,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
6,NHP9,-0.298909,0,0,-0.811617,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
7,NHP9,0.0280994,0,0,-0.687392,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
8,NHP9,0.0978937,0,0,-0.834376,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
9,NHP9,-0.223955,0,0,-1.00186,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
10,NHP9,-0.186507,0,0,0.625573,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
