rep,id,betas_N,fact_beta_T,fact_delta_T,delta_N,c,cI,k,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group
2,NHP30,0.00377125,0,0,1.55232,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
3,NHP30,0.00284525,0,0,0.509292,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
4,NHP30,0.00225056,0,0,1.45216,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
5,NHP30,0.00289678,0,0,1.10766,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
6,NHP30,0.00304762,0,0,1.11108,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
7,NHP30,0.00312858,0,0,0.799881,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
8,NHP30,0.00407581,0,0,0.752867,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
9,NHP30,0.00331579,0,0,1.55336,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
10,NHP30,0.0036514,0,0,1.46465,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
1,NHP31,12.98,0,0,8.18726,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
2,NHP31,12.4228,0,0,7.73201,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
3,NHP31,15.727,0,0,9.29605,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
4,NHP31,13.5724,0,0,8.69423,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
5,NHP31,11.6178,0,0,7.64629,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
6,NHP31,11.2529,0,0,7.65221,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
7,NHP31,12.6255,0,0,7.55739,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
8,NHP31,12.9881,0,0,7.65221,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
9,NHP31,14.9807,0,0,8.34257,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
10,NHP31,13.1774,0,0,8.83072,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
1,NHP32,0.000279595,0,0,1.45219,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
2,NHP32,0.00031025,0,0,1.24724,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
3,NHP32,0.000261113,0,0,1.10316,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
4,NHP32,0.000310994,0,0,1.33762,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
5,NHP32,0.000278628,0,0,0.829658,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
6,NHP32,0.000289726,0,0,0.295408,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
7,NHP32,0.000284643,0,0,0.555002,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
8,NHP32,0.00021098,0,0,1.1392,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
9,NHP32,0.000336423,0,0,1.5516,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
10,NHP32,0.00033886,0,0,1.17425,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
1,NHP33,19.3278,0,0,2.58827,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
2,NHP33,14.6583,0,0,8.18373,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
3,NHP33,14.2012,0,0,9.56444,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
4,NHP33,14.9485,0,0,3.76564,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
5,NHP33,14.2942,0,0,9.04944,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
6,NHP33,15.7271,0,0,10.1135,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
7,NHP33,17.1091,0,0,7.93214,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
8,NHP33,24.6336,0,0,4.93687,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
9,NHP33,13.4964,0,0,9.08751,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
10,NHP33,20.5312,0,0,4.49399,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
1,NHP34,0.0730996,0,0,0.414767,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
2,NHP34,0.0687106,0,0,0.575232,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
3,NHP34,0.0609806,0,0,0.41243,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
4,NHP34,0.078759,0,0,0.434346,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
5,NHP34,0.0812555,0,0,0.369875,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
6,NHP34,0.0786227,0,0,0.3802,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
7,NHP34,0.0599922,0,0,0.535196,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
8,NHP34,0.0989776,0,0,0.398277,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
9,NHP34,0.0805311,0,0,0.472426,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
10,NHP34,0.0800806,0,0,0.4078,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
1,NHP4,0.0791636,0,0,2.60915,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
2,NHP4,0.0762331,0,0,4.00833,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
3,NHP4,0.0797607,0,0,5.21467,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
4,NHP4,0.0740718,0,0,8.8933,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
5,NHP4,0.0588483,0,0,1.52141,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
6,NHP4,0.0751103,0,0,1.94415,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
7,NHP4,0.126948,0,0,3.03255,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
8,NHP4,0.0784197,0,0,9.57946,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
9,NHP4,0.089975,0,0,3.17694,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
10,NHP4,0.0795167,0,0,3.1733,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
1,NHP5,13.4251,0,0,8.57529,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
2,NHP5,12.0315,0,0,7.87172,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
3,NHP5,15.2127,0,0,7.46752,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
4,NHP5,16.5087,0,0,10.177,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
5,NHP5,12.3063,0,0,8.89268,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
6,NHP5,15.9912,0,0,9.9156,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
7,NHP5,12.0446,0,0,10.5366,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
8,NHP5,13.2427,0,0,8.36783,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
9,NHP5,10.2358,0,0,7.2781,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
10,NHP5,13.8092,0,0,8.81932,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
1,NHP6,15.5762,0,0,2.53074,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
2,NHP6,12.7795,0,0,3.307,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
3,NHP6,13.8583,0,0,1.56119,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
4,NHP6,13.9492,0,0,3.66983,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
5,NHP6,16.3476,0,0,3.77764,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
6,NHP6,14.3179,0,0,4.94803,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
7,NHP6,21.7363,0,0,3.63508,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
8,NHP6,17.6856,0,0,4.24591,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
9,NHP6,15.233,0,0,3.02174,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
10,NHP6,16.9802,0,0,3.04583,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
1,NHP7,0.000293103,0,0,1.39797,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
2,NHP7,0.000261933,0,0,1.32431,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
3,NHP7,0.000266761,0,0,3.94306,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
4,NHP7,0.000320372,0,0,1.74515,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
5,NHP7,0.000282158,0,0,1.60763,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
6,NHP7,0.00023889,0,0,1.70439,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
7,NHP7,0.00031515,0,0,0.851699,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
8,NHP7,0.000290786,0,0,7.38277,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
9,NHP7,0.000346037,0,0,1.13461,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
10,NHP7,0.000320376,0,0,1.70041,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
1,NHP8,0.000307615,0,0,5.53159,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
2,NHP8,0.000278076,0,0,3.39615,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
3,NHP8,0.000233759,0,0,4.55095,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
4,NHP8,0.00025919,0,0,7.71856,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
5,NHP8,0.000224373,0,0,3.20607,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
6,NHP8,0.000320075,0,0,2.76812,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
7,NHP8,0.00027911,0,0,9.58338,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
8,NHP8,0.000257175,0,0,14.5602,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
9,NHP8,0.000249116,0,0,0.637006,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
10,NHP8,0.000341604,0,0,1.37657,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
1,NHP9,14.1654,0,0,0.916106,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
2,NHP9,18.7283,0,0,0.740452,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
3,NHP9,14.4937,0,0,0.813455,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
4,NHP9,17.3281,0,0,0.763802,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
5,NHP9,14.415,0,0,0.859229,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
6,NHP9,10.5545,0,0,0.842722,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
7,NHP9,14.6371,0,0,0.954189,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
8,NHP9,15.6951,0,0,0.823759,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
9,NHP9,11.376,0,0,0.696725,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
10,NHP9,11.81,0,0,3.54689,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
